contig,start,end,reads,pct_of_aligned
JBQVBD010000017.1,3577774,3578243,1189,0.0016
JBQVBD010000014.1,2561305,2563033,1183,0.0016
JBQVBD010000011.1,2063192,2064062,1181,0.0016
JBQVBD010000003.1,527267,527876,1181,0.0016
JBQVBD010000008.1,717546,718366,1178,0.0016
JBQVBD010000008.1,947284,947441,1177,0.0016
JBQVBD010000016.1,4608784,4609779,1168,0.0016
JBQVBD010000016.1,4073620,4075000,1168,0.0016
JBQVBD010000010.1,1828878,1830116,1168,0.0016
JBQVBD010000006.1,1320321,1320986,1168,0.0016
JBQVBD010000011.1,2705893,2708053,1167,0.0016
JBQVBD010000008.1,934681,934906,1157,0.0016
JBQVBD010000017.1,2653312,2653674,1149,0.0016
JBQVBD010000012.1,1144476,1145632,1145,0.0016
JBQVBD010000011.1,2418571,2419003,1145,0.0016
JBQVBD010000017.1,4476699,4477026,1139,0.0016
JBQVBD010000016.1,2021162,2023269,1139,0.0016
JBQVBD010000016.1,1640777,1641620,1135,0.0016
JBQVBD010000010.1,2868611,2869580,1135,0.0016
JBQVBD010000016.1,570005,570571,1132,0.0016
JBQVBD010000014.1,2728947,2729602,1129,0.0015
JBQVBD010000010.1,945464,946069,1128,0.0015
JBQVBD010000014.1,2447094,2447503,1124,0.0015
JBQVBD010000011.1,770211,771723,1123,0.0015
JBQVBD010000011.1,1060666,1060919,1123,0.0015
JBQVBD010000009.1,2309820,2310105,1120,0.0015
JBQVBD010000017.1,3950393,3951227,1116,0.0015
JBQVBD010000012.1,1102689,1103074,1116,0.0015
JBQVBD010000007.1,1394159,1394883,1114,0.0015
JBQVBD010000009.1,1021759,1022036,1113,0.0015
JBQVBD010000011.1,22092,23114,1111,0.0015
JBQVBD010000017.1,2012708,2014470,1109,0.0015
JBQVBD010000014.1,2160688,2161404,1108,0.0015
CM148777.1,27397,29559,1107,0.0015
JBQVBD010000007.1,585615,589128,1103,0.0015
JBQVBD010000016.1,4544013,4544480,1102,0.0015
JBQVBD010000015.1,591789,592406,1102,0.0015
JBQVBD010000010.1,991987,992403,1101,0.0015
JBQVBD010000016.1,2259938,2261031,1092,0.0015
JBQVBD010000011.1,128434,132801,1089,0.0015
JBQVBD010000004.1,315762,316082,1087,0.0015
JBQVBD010000017.1,3398592,3398901,1086,0.0015
JBQVBD010000017.1,1592286,1592763,1086,0.0015
JBQVBD010000015.1,1044462,1045340,1086,0.0015
JBQVBD010000014.1,1007784,1008225,1086,0.0015
JBQVBD010000012.1,2644507,2646477,1086,0.0015
JBQVBD010000012.1,1814270,1815311,1081,0.0015
JBQVBD010000011.1,2547745,2548179,1076,0.0015
JBQVBD010000012.1,1641525,1642132,1070,0.0015
JBQVBD010000016.1,2522095,2522303,1065,0.0015
JBQVBD010000015.1,3037796,3040160,1064,0.0015
JBQVBD010000008.1,2011337,2012069,1064,0.0015
JBQVBD010000017.1,3648607,3648871,1057,0.0015
JBQVBD010000017.1,1146446,1146877,1057,0.0015
JBQVBD010000007.1,1090206,1090808,1055,0.0014
JBQVBD010000014.1,565315,565537,1052,0.0014
JBQVBD010000016.1,2597585,2597975,1049,0.0014
JBQVBD010000008.1,968229,968497,1049,0.0014
JBQVBD010000007.1,498170,498989,1047,0.0014
JBQVBD010000007.1,299076,299401,1046,0.0014
JBQVBD010000010.1,355247,355474,1038,0.0014
JBQVBD010000010.1,691795,691994,1037,0.0014
JBQVBD010000012.1,992519,992688,1034,0.0014
JBQVBD010000008.1,108205,110761,1033,0.0014
JBQVBD010000008.1,915917,916290,1031,0.0014
JBQVBD010000017.1,3061308,3062026,1028,0.0014
JBQVBD010000017.1,4725124,4725352,1026,0.0014
JBQVBD010000014.1,1088217,1088557,1026,0.0014
JBQVBD010000006.1,1102431,1103075,1024,0.0014
JBQVBD010000012.1,1092452,1092946,1023,0.0014
JBQVBD010000010.1,2757364,2759612,1020,0.0014
JBQVBD010000017.1,3406878,3407909,1016,0.0014
JBQVBD010000016.1,3407591,3408423,1013,0.0014
JBQVBD010000012.1,1928007,1928858,1012,0.0014
JBQVBD010000012.1,1983385,1984589,1010,0.0014
JBQVBD010000015.1,2858004,2859293,1008,0.0014
JBQVBD010000013.1,2278993,2279198,1007,0.0014
JBQVBD010000017.1,3443513,3444907,1005,0.0014
JBQVBD010000017.1,1936917,1937402,1002,0.0014
JBQVBD010000015.1,1173696,1174383,1002,0.0014
JBQVBD010000012.1,1797441,1797677,1002,0.0014
JBQVBD010000011.1,870326,871361,1002,0.0014
JBQVBD010000010.1,2718467,2719149,1002,0.0014
JBQVBD010000010.1,2318232,2319246,1001,0.0014
JBQVBD010000014.1,2333876,2334354,1000,0.0014
JBQVBD010000009.1,2154022,2154992,998,0.0014
JBQVBD010000016.1,4411904,4412817,996,0.0014
JBQVBD010000016.1,2010811,2011024,994,0.0014
JBQVBD010000011.1,879818,880377,993,0.0014
JBQVBD010000013.1,2514320,2516312,992,0.0014
JBQVBD010000016.1,4806102,4806643,990,0.0014
JBQVBD010000010.1,1660352,1661800,990,0.0014
JBQVBD010000015.1,1205650,1205822,989,0.0014
JBQVBD010000004.1,351912,353648,988,0.0014
JBQVBD010000016.1,1584404,1585572,987,0.0014
JBQVBD010000016.1,2953043,2953284,985,0.0014
JBQVBD010000017.1,3088423,3088568,979,0.0013
JBQVBD010000017.1,1554862,1556058,979,0.0013
JBQVBD010000017.1,1867149,1871451,977,0.0013
JBQVBD010000016.1,3247399,3247529,976,0.0013
JBQVBD010000017.1,3785826,3787058,974,0.0013
JBQVBD010000016.1,4330413,4335192,973,0.0013
JBQVBD010000011.1,453269,454034,973,0.0013
JBQVBD010000003.1,401999,402599,970,0.0013
JBQVBD010000007.1,12179,12541,968,0.0013
JBQVBD010000012.1,2356056,2357941,964,0.0013
JBQVBD010000008.1,801243,801432,964,0.0013
JBQVBD010000011.1,2074576,2075856,963,0.0013
JBQVBD010000014.1,2365519,2366256,953,0.0013
JBQVBD010000010.1,241407,242003,952,0.0013
JBQVBD010000005.1,625522,625919,951,0.0013
JBQVBD010000017.1,4089045,4089506,950,0.0013
JBQVBD010000010.1,274483,275515,949,0.0013
JBQVBD010000017.1,333610,334135,947,0.0013
JBQVBD010000013.1,2559113,2559392,943,0.0013
JBQVBD010000014.1,2007367,2007896,942,0.0013
JBQVBD010000010.1,474371,474625,940,0.0013
JBQVBD010000016.1,3168521,3168845,939,0.0013
JBQVBD010000012.1,1879969,1880269,938,0.0013
JBQVBD010000015.1,2118419,2118773,937,0.0013
JBQVBD010000013.1,2777695,2778111,937,0.0013
CM148777.1,64577,66914,936,0.0013
JBQVBD010000017.1,1094050,1094488,934,0.0013
JBQVBD010000014.1,2756287,2757206,933,0.0013
JBQVBD010000016.1,2737867,2738329,932,0.0013
JBQVBD010000017.1,3395190,3395755,930,0.0013
JBQVBD010000003.1,21599,23484,930,0.0013
JBQVBD010000010.1,351095,351281,926,0.0013
JBQVBD010000005.1,317345,318095,923,0.0013
JBQVBD010000017.1,846722,847179,922,0.0013
JBQVBD010000015.1,3022097,3022997,921,0.0013
JBQVBD010000016.1,2040984,2041329,920,0.0013
JBQVBD010000012.1,2640706,2642417,920,0.0013
JBQVBD010000014.1,1224339,1224939,918,0.0013
JBQVBD010000010.1,2237790,2237969,917,0.0013
JBQVBD010000017.1,2042369,2042582,915,0.0013
JBQVBD010000010.1,2232625,2233194,915,0.0013
JBQVBD010000013.1,1316204,1316527,914,0.0013
JBQVBD010000017.1,2165241,2165500,913,0.0013
JBQVBD010000003.1,395511,395957,913,0.0013
JBQVBD010000011.1,1152576,1153687,910,0.0012
JBQVBD010000013.1,1472652,1473335,909,0.0012
JBQVBD010000010.1,2743074,2743509,909,0.0012
JBQVBD010000011.1,991542,991726,906,0.0012
JBQVBD010000011.1,2604654,2605706,902,0.0012
JBQVBD010000015.1,2149216,2149372,899,0.0012
JBQVBD010000003.1,679258,683281,897,0.0012
JBQVBD010000015.1,1109300,1109937,896,0.0012
JBQVBD010000013.1,1110833,1111376,896,0.0012
JBQVBD010000009.1,1164471,1165777,896,0.0012
JBQVBD010000015.1,1112143,1112621,895,0.0012
JBQVBD010000012.1,1852787,1853178,895,0.0012
JBQVBD010000004.1,629645,629919,895,0.0012
JBQVBD010000014.1,1628857,1629327,894,0.0012
JBQVBD010000009.1,815395,815668,894,0.0012
JBQVBD010000015.1,728010,728562,891,0.0012
JBQVBD010000017.1,3425121,3427400,889,0.0012
JBQVBD010000012.1,2480619,2483003,887,0.0012
JBQVBD010000010.1,963872,964959,887,0.0012
JBQVBD010000014.1,2481239,2481578,886,0.0012
JBQVBD010000015.1,1025468,1026044,884,0.0012
JBQVBD010000010.1,2310513,2310906,884,0.0012
JBQVBD010000008.1,115683,116214,884,0.0012
JBQVBD010000015.1,1852106,1852251,883,0.0012
JBQVBD010000011.1,2409214,2409705,883,0.0012
JBQVBD010000011.1,2067114,2069052,883,0.0012
JBQVBD010000011.1,141948,142963,881,0.0012
JBQVBD010000010.1,2519254,2519528,881,0.0012
JBQVBD010000017.1,469840,470035,875,0.0012
JBQVBD010000017.1,1085912,1086248,875,0.0012
JBQVBD010000003.1,377194,377734,875,0.0012
JBQVBD010000017.1,2051832,2052742,873,0.0012
JBQVBD010000016.1,2088876,2089468,873,0.0012
JBQVBD010000016.1,1201905,1202079,872,0.0012
JBQVBD010000010.1,971476,972745,872,0.0012
JBQVBD010000016.1,1884205,1884543,868,0.0012
JBQVBD010000015.1,1617523,1617908,868,0.0012
JBQVBD010000013.1,221045,221182,868,0.0012
JBQVBD010000017.1,3360935,3361348,867,0.0012
JBQVBD010000008.1,1978198,1978560,866,0.0012
JBQVBD010000015.1,2979735,2980247,864,0.0012
JBQVBD010000014.1,928862,929168,863,0.0012
JBQVBD010000011.1,1497633,1498692,863,0.0012
JBQVBD010000015.1,1372560,1373042,861,0.0012
JBQVBD010000012.1,739721,740100,860,0.0012
JBQVBD010000015.1,850927,851557,859,0.0012
JBQVBD010000017.1,2988329,2988688,858,0.0012
JBQVBD010000017.1,676702,677259,856,0.0012
JBQVBD010000017.1,1113745,1116368,855,0.0012
JBQVBD010000007.1,507236,507674,855,0.0012
JBQVBD010000014.1,732551,733133,854,0.0012
JBQVBD010000012.1,1507046,1507200,852,0.0012
JBQVBD010000015.1,906384,906630,850,0.0012
JBQVBD010000011.1,2723787,2725360,850,0.0012
JBQVBD010000016.1,4552882,4553391,847,0.0012
JBQVBD010000017.1,2301725,2301972,845,0.0012
JBQVBD010000012.1,1000853,1001310,844,0.0012
JBQVBD010000014.1,1459900,1460892,840,0.0012
JBQVBD010000017.1,4345272,4345729,839,0.0012
JBQVBD010000016.1,3335357,3335615,839,0.0012
JBQVBD010000016.1,2366476,2367141,839,0.0012
JBQVBD010000012.1,2472333,2474943,839,0.0012
JBQVBD010000011.1,31948,32416,838,0.0011
JBQVBD010000010.1,2481312,2481511,838,0.0011
JBQVBD010000017.1,2218570,2218790,836,0.0011
JBQVBD010000015.1,586809,588950,835,0.0011
JBQVBD010000009.1,1083322,1083471,835,0.0011
JBQVBD010000013.1,522713,523164,832,0.0011
JBQVBD010000016.1,1033618,1033746,831,0.0011
JBQVBD010000016.1,3039564,3039772,830,0.0011
JBQVBD010000014.1,100235,101994,830,0.0011
JBQVBD010000010.1,2078686,2079054,829,0.0011
JBQVBD010000010.1,1086014,1086485,829,0.0011
JBQVBD010000017.1,2516570,2516838,828,0.0011
JBQVBD010000011.1,420441,421943,828,0.0011
JBQVBD010000017.1,4615444,4616086,826,0.0011
JBQVBD010000009.1,1783627,1784302,826,0.0011
JBQVBD010000002.1,62916,63181,826,0.0011
JBQVBD010000015.1,2172134,2172488,825,0.0011
JBQVBD010000012.1,3251723,3251967,825,0.0011
JBQVBD010000011.1,2698315,2699013,825,0.0011
JBQVBD010000011.1,1360370,1360628,824,0.0011
JBQVBD010000010.1,2840880,2842168,824,0.0011
JBQVBD010000011.1,2428059,2429246,823,0.0011
JBQVBD010000010.1,1602825,1603103,823,0.0011
JBQVBD010000005.1,807496,807576,823,0.0011
JBQVBD010000016.1,3123180,3123480,822,0.0011
JBQVBD010000008.1,406507,407705,822,0.0011
JBQVBD010000017.1,3687757,3688855,821,0.0011
JBQVBD010000016.1,2283143,2283407,821,0.0011
JBQVBD010000009.1,338156,340139,816,0.0011
JBQVBD010000013.1,1963185,1963427,808,0.0011
JBQVBD010000003.1,700635,703689,808,0.0011
JBQVBD010000010.1,2571697,2571842,807,0.0011
JBQVBD010000015.1,2208691,2209167,806,0.0011
JBQVBD010000010.1,1574773,1575022,806,0.0011
JBQVBD010000010.1,1451750,1453518,806,0.0011
JBQVBD010000013.1,763693,764389,805,0.0011
JBQVBD010000017.1,3689163,3689386,803,0.0011
JBQVBD010000016.1,1580038,1582302,803,0.0011
JBQVBD010000013.1,1998578,1999850,803,0.0011
JBQVBD010000016.1,3557236,3557609,802,0.0011
JBQVBD010000014.1,1480479,1480988,801,0.0011
JBQVBD010000003.1,639102,639551,801,0.0011
JBQVBD010000016.1,2343973,2344381,800,0.0011
JBQVBD010000011.1,671773,672226,798,0.0011
JBQVBD010000016.1,4645957,4647416,797,0.0011
JBQVBD010000006.1,1351567,1352320,796,0.0011
JBQVBD010000015.1,1033056,1033215,795,0.0011
JBQVBD010000014.1,2003627,2003882,793,0.0011
JBQVBD010000015.1,236210,240750,792,0.0011
JBQVBD010000016.1,4695613,4696164,790,0.0011
JBQVBD010000016.1,1612022,1612419,790,0.0011
JBQVBD010000015.1,2784169,2784488,790,0.0011
JBQVBD010000017.1,2435397,2435699,788,0.0011
JBQVBD010000015.1,1678753,1679761,788,0.0011
JBQVBD010000011.1,1748913,1749822,788,0.0011
JBQVBD010000012.1,1730309,1730590,787,0.0011
JBQVBD010000017.1,3847750,3847986,785,0.0011
JBQVBD010000016.1,2964854,2965249,785,0.0011
JBQVBD010000016.1,1165327,1167812,785,0.0011
JBQVBD010000011.1,1409571,1411548,785,0.0011
JBQVBD010000011.1,1112471,1113485,785,0.0011
JBQVBD010000015.1,2435871,2437846,784,0.0011
JBQVBD010000016.1,2378141,2378659,782,0.0011
JBQVBD010000010.1,2428530,2428705,779,0.0011
JBQVBD010000017.1,3474049,3474315,777,0.0011
JBQVBD010000016.1,2667669,2668008,774,0.0011
CM148777.1,32323,34705,773,0.0011
JBQVBD010000015.1,3234627,3235491,771,0.0011
JBQVBD010000015.1,2686636,2687172,770,0.0011
JBQVBD010000007.1,358264,358731,770,0.0011
JBQVBD010000003.1,448989,449202,768,0.0011
JBQVBD010000017.1,3748968,3749263,766,0.0011
JBQVBD010000010.1,2331798,2332208,766,0.0011
JBQVBD010000017.1,4174169,4174971,763,0.0010
JBQVBD010000011.1,138336,138978,763,0.0010
JBQVBD010000013.1,443701,445916,762,0.0010
JBQVBD010000004.1,551125,552462,761,0.0010
JBQVBD010000017.1,3542386,3542941,760,0.0010
JBQVBD010000008.1,1967562,1968483,760,0.0010
JBQVBD010000016.1,2807728,2807918,758,0.0010
JBQVBD010000013.1,1821710,1822042,757,0.0010
JBQVBD010000011.1,814838,816651,757,0.0010
JBQVBD010000017.1,1452410,1453165,755,0.0010
JBQVBD010000015.1,1665620,1665922,755,0.0010
JBQVBD010000017.1,760543,761143,753,0.0010
JBQVBD010000017.1,1563071,1563360,752,0.0010
JBQVBD010000017.1,3693496,3693744,751,0.0010
JBQVBD010000017.1,2076276,2077421,751,0.0010
JBQVBD010000015.1,894627,895027,751,0.0010
JBQVBD010000017.1,2878611,2879773,750,0.0010
JBQVBD010000012.1,2124872,2125298,749,0.0010
JBQVBD010000014.1,1910554,1911858,748,0.0010
JBQVBD010000011.1,803564,803922,748,0.0010
JBQVBD010000016.1,3512585,3512861,747,0.0010
JBQVBD010000016.1,3909134,3909359,746,0.0010
JBQVBD010000016.1,3384153,3384718,746,0.0010
JBQVBD010000013.1,834228,834412,746,0.0010
JBQVBD010000011.1,809303,810099,746,0.0010
JBQVBD010000015.1,362761,363226,743,0.0010
JBQVBD010000010.1,1370087,1371872,743,0.0010
JBQVBD010000016.1,1321195,1321958,742,0.0010
JBQVBD010000003.1,353045,353422,742,0.0010
JBQVBD010000011.1,775954,776531,741,0.0010
JBQVBD010000011.1,2007325,2008858,741,0.0010
JBQVBD010000011.1,2350223,2350741,740,0.0010
JBQVBD010000017.1,2707115,2707353,737,0.0010
JBQVBD010000010.1,366925,367407,737,0.0010
JBQVBD010000017.1,1720849,1721190,736,0.0010
JBQVBD010000015.1,1286487,1287448,736,0.0010
JBQVBD010000013.1,2225867,2227309,736,0.0010
JBQVBD010000012.1,1747616,1748514,736,0.0010
JBQVBD010000010.1,2208057,2208537,736,0.0010
JBQVBD010000010.1,1978136,1978306,736,0.0010
JBQVBD010000010.1,1418050,1418997,736,0.0010
JBQVBD010000010.1,1295900,1296184,735,0.0010
JBQVBD010000017.1,4181600,4181975,733,0.0010
JBQVBD010000017.1,3526044,3526435,733,0.0010
JBQVBD010000015.1,2366195,2366673,733,0.0010
JBQVBD010000009.1,1184480,1186008,730,0.0010
JBQVBD010000008.1,328548,329048,730,0.0010
JBQVBD010000013.1,1445937,1446092,729,0.0010
JBQVBD010000011.1,1117776,1118205,729,0.0010
JBQVBD010000004.1,957300,963353,729,0.0010
JBQVBD010000014.1,2069412,2070631,728,0.0010
JBQVBD010000010.1,1243491,1243827,725,0.0010
JBQVBD010000012.1,1059315,1060447,722,0.0010
JBQVBD010000005.1,219743,220553,722,0.0010
JBQVBD010000016.1,3985013,3986890,720,0.0010
JBQVBD010000008.1,1413862,1417480,720,0.0010
JBQVBD010000017.1,2972074,2972279,719,0.0010
JBQVBD010000010.1,182683,183755,719,0.0010
JBQVBD010000014.1,2234213,2235026,717,0.0010
JBQVBD010000008.1,1937134,1937770,716,0.0010
JBQVBD010000017.1,4229005,4229349,715,0.0010
JBQVBD010000015.1,2280277,2280510,715,0.0010
JBQVBD010000010.1,2277192,2277812,715,0.0010
JBQVBD010000016.1,5121174,5122186,713,0.0010
JBQVBD010000016.1,3259997,3260137,713,0.0010
JBQVBD010000017.1,3104885,3105362,710,0.0010
JBQVBD010000017.1,4483473,4483955,709,0.0010
JBQVBD010000008.1,378300,379972,708,0.0010
JBQVBD010000015.1,2179289,2180226,707,0.0010
JBQVBD010000003.1,426122,427006,706,0.0010
JBQVBD010000016.1,1144891,1146084,705,0.0010
JBQVBD010000011.1,1422966,1424200,705,0.0010
JBQVBD010000005.1,517481,517931,705,0.0010
JBQVBD010000017.1,2005041,2005513,704,0.0010
JBQVBD010000015.1,3722691,3723075,703,0.0010
JBQVBD010000016.1,2293142,2293703,702,0.0010
JBQVBD010000014.1,747196,747676,702,0.0010
JBQVBD010000011.1,2551004,2551499,702,0.0010
JBQVBD010000010.1,1741128,1741425,701,0.0010
JBQVBD010000013.1,1095211,1096140,700,0.0010
JBQVBD010000017.1,1883661,1884023,699,0.0010
JBQVBD010000015.1,2629380,2631316,699,0.0010
JBQVBD010000015.1,2156795,2157068,699,0.0010
JBQVBD010000007.1,714458,714977,698,0.0010
JBQVBD010000015.1,1292586,1293557,696,0.0010
JBQVBD010000016.1,2578130,2578295,695,0.0010
JBQVBD010000011.1,1777494,1777734,694,0.0010
JBQVBD010000017.1,3024592,3025434,693,0.0010
JBQVBD010000016.1,1330713,1331144,691,0.0009
JBQVBD010000014.1,1619891,1620241,691,0.0009
JBQVBD010000010.1,1945141,1945479,691,0.0009
JBQVBD010000011.1,848618,848890,689,0.0009
JBQVBD010000011.1,1613347,1613533,687,0.0009
JBQVBD010000014.1,2044151,2044542,685,0.0009
JBQVBD010000012.1,2590144,2591367,685,0.0009
JBQVBD010000010.1,233615,233869,685,0.0009
JBQVBD010000016.1,2938046,2938199,684,0.0009
JBQVBD010000016.1,4089775,4090159,683,0.0009
JBQVBD010000013.1,1545330,1545566,683,0.0009
JBQVBD010000017.1,4143638,4144170,681,0.0009
JBQVBD010000012.1,429216,429397,681,0.0009
JBQVBD010000015.1,1493951,1494369,679,0.0009
JBQVBD010000008.1,748029,750828,678,0.0009
JBQVBD010000011.1,1040766,1041422,677,0.0009
JBQVBD010000011.1,1027065,1028585,677,0.0009
JBQVBD010000006.1,1246897,1247322,677,0.0009
JBQVBD010000015.1,931364,931906,675,0.0009
JBQVBD010000017.1,1635197,1635401,674,0.0009
JBQVBD010000012.1,1142419,1143395,673,0.0009
JBQVBD010000010.1,1968854,1969172,673,0.0009
JBQVBD010000016.1,3824995,3825525,671,0.0009
JBQVBD010000016.1,2940000,2940509,671,0.0009
JBQVBD010000015.1,2543246,2543571,671,0.0009
JBQVBD010000010.1,1316046,1317197,671,0.0009
JBQVBD010000012.1,954459,955168,669,0.0009
JBQVBD010000004.1,876613,884037,668,0.0009
JBQVBD010000016.1,3881936,3882236,667,0.0009
JBQVBD010000013.1,2813840,2815482,667,0.0009
JBQVBD010000007.1,280915,282994,666,0.0009
JBQVBD010000003.1,422703,424117,666,0.0009
JBQVBD010000010.1,2091182,2091885,665,0.0009
JBQVBD010000017.1,4832312,4832636,664,0.0009
JBQVBD010000016.1,4144814,4145394,663,0.0009
JBQVBD010000015.1,670753,671766,662,0.0009
JBQVBD010000013.1,2054083,2054644,661,0.0009
JBQVBD010000010.1,1100609,1101344,660,0.0009
JBQVBD010000017.1,3925513,3926409,659,0.0009
JBQVBD010000016.1,3769065,3769201,658,0.0009
JBQVBD010000013.1,1627141,1627437,658,0.0009
JBQVBD010000017.1,2092126,2092639,657,0.0009
JBQVBD010000015.1,2348753,2348979,657,0.0009
JBQVBD010000014.1,2093019,2093171,657,0.0009
JBQVBD010000012.1,542292,542893,657,0.0009
JBQVBD010000014.1,2372442,2374239,656,0.0009
JBQVBD010000012.1,2615933,2617161,653,0.0009
JBQVBD010000004.1,588113,589387,653,0.0009
JBQVBD010000013.1,2604537,2605141,652,0.0009
JBQVBD010000017.1,4716862,4717405,651,0.0009
JBQVBD010000010.1,461638,462433,651,0.0009
JBQVBD010000015.1,1054135,1054554,650,0.0009
JBQVBD010000016.1,1323685,1323961,647,0.0009
JBQVBD010000009.1,1202037,1202517,647,0.0009
JBQVBD010000008.1,502131,502327,647,0.0009
JBQVBD010000015.1,3661649,3662226,646,0.0009
JBQVBD010000016.1,4231524,4231982,645,0.0009
JBQVBD010000010.1,2047878,2048437,645,0.0009
JBQVBD010000016.1,51172,52449,644,0.0009
JBQVBD010000008.1,1841228,1841538,644,0.0009
JBQVBD010000016.1,4185129,4185755,643,0.0009
JBQVBD010000011.1,404115,404667,643,0.0009
JBQVBD010000015.1,681403,682197,642,0.0009
JBQVBD010000012.1,2923053,2924276,642,0.0009
JBQVBD010000010.1,1765253,1765529,642,0.0009
JBQVBD010000013.1,2297069,2297418,640,0.0009
JBQVBD010000011.1,1168356,1168975,640,0.0009
JBQVBD010000009.1,2294608,2294779,640,0.0009
JBQVBD010000009.1,1785325,1785614,640,0.0009
JBQVBD010000005.1,936269,936482,639,0.0009
JBQVBD010000002.1,72684,73041,639,0.0009
JBQVBD010000016.1,1531833,1533511,638,0.0009
JBQVBD010000015.1,3443822,3444637,638,0.0009
JBQVBD010000016.1,2156991,2157423,634,0.0009
JBQVBD010000016.1,1833784,1833972,634,0.0009
JBQVBD010000014.1,2435914,2436316,633,0.0009
JBQVBD010000016.1,2817107,2817224,632,0.0009
JBQVBD010000011.1,2497746,2498069,631,0.0009
JBQVBD010000010.1,1078389,1079098,631,0.0009
JBQVBD010000017.1,182924,183694,630,0.0009
JBQVBD010000015.1,2607045,2607799,630,0.0009
JBQVBD010000014.1,1191895,1192194,630,0.0009
JBQVBD010000014.1,2036257,2036943,629,0.0009
JBQVBD010000012.1,646435,646777,626,0.0009
JBQVBD010000011.1,1706107,1706542,623,0.0009
JBQVBD010000004.1,531377,532123,623,0.0009
JBQVBD010000017.1,4384510,4384840,621,0.0009
JBQVBD010000016.1,2031779,2032840,621,0.0009
JBQVBD010000010.1,2682800,2683431,621,0.0009
JBQVBD010000012.1,557363,557973,620,0.0009
JBQVBD010000009.1,1996345,1996734,620,0.0009
JBQVBD010000004.1,636494,638589,620,0.0009
JBQVBD010000007.1,62230,67465,619,0.0008
JBQVBD010000016.1,1650575,1650961,618,0.0008
JBQVBD010000015.1,13249,13966,618,0.0008
JBQVBD010000012.1,3072412,3074757,617,0.0008
JBQVBD010000010.1,615077,615607,616,0.0008
JBQVBD010000003.1,662156,663602,616,0.0008
JBQVBD010000017.1,4111224,4112481,612,0.0008
JBQVBD010000011.1,1759612,1760284,611,0.0008
JBQVBD010000009.1,1696919,1697134,611,0.0008
JBQVBD010000016.1,1035894,1036457,609,0.0008
JBQVBD010000011.1,2524882,2525352,609,0.0008
JBQVBD010000016.1,1887542,1887884,608,0.0008
JBQVBD010000010.1,2215593,2216116,608,0.0008
JBQVBD010000007.1,883212,883302,605,0.0008
JBQVBD010000015.1,2286583,2286826,603,0.0008
JBQVBD010000010.1,2004360,2005617,603,0.0008
JBQVBD010000017.1,4104512,4106071,601,0.0008
JBQVBD010000012.1,947039,947922,601,0.0008
JBQVBD010000007.1,425475,426760,601,0.0008
JBQVBD010000017.1,3629432,3629591,600,0.0008
JBQVBD010000016.1,3889110,3889517,600,0.0008
JBQVBD010000014.1,2327885,2328465,599,0.0008
JBQVBD010000017.1,1769216,1769595,597,0.0008
JBQVBD010000012.1,925050,925862,597,0.0008
JBQVBD010000016.1,52753,53087,596,0.0008
JBQVBD010000006.1,1230026,1230493,596,0.0008
JBQVBD010000017.1,2112141,2112811,595,0.0008
JBQVBD010000016.1,3069311,3069885,594,0.0008
JBQVBD010000013.1,1458694,1459260,594,0.0008
JBQVBD010000011.1,805943,806342,593,0.0008
JBQVBD010000009.1,695092,696144,593,0.0008
JBQVBD010000017.1,2565540,2565674,592,0.0008
JBQVBD010000015.1,2230074,2230252,592,0.0008
JBQVBD010000012.1,792218,792902,592,0.0008
JBQVBD010000012.1,2493232,2496857,592,0.0008
JBQVBD010000008.1,942394,943282,592,0.0008
JBQVBD010000017.1,4058453,4058848,591,0.0008
JBQVBD010000014.1,570055,571215,591,0.0008
JBQVBD010000008.1,1533221,1533780,591,0.0008
JBQVBD010000010.1,2851335,2853137,590,0.0008
JBQVBD010000015.1,909748,912565,588,0.0008
JBQVBD010000016.1,2149347,2149672,587,0.0008
JBQVBD010000015.1,951046,951531,587,0.0008
JBQVBD010000014.1,599228,599750,587,0.0008
JBQVBD010000017.1,770852,771163,586,0.0008
JBQVBD010000016.1,4467260,4467552,585,0.0008
JBQVBD010000015.1,1540085,1540236,584,0.0008
JBQVBD010000010.1,626921,627257,584,0.0008
JBQVBD010000011.1,1134404,1134882,583,0.0008
JBQVBD010000009.1,2021446,2021770,583,0.0008
JBQVBD010000017.1,4730040,4730882,582,0.0008
JBQVBD010000017.1,2351559,2352497,582,0.0008
JBQVBD010000012.1,252211,252700,581,0.0008
JBQVBD010000008.1,1773243,1773816,581,0.0008
JBQVBD010000016.1,3434356,3434571,580,0.0008
JBQVBD010000014.1,175804,176278,580,0.0008
JBQVBD010000017.1,2713114,2713266,579,0.0008
JBQVBD010000010.1,1887790,1888255,579,0.0008
JBQVBD010000009.1,1144663,1144961,579,0.0008
JBQVBD010000006.1,1120345,1121247,579,0.0008
JBQVBD010000015.1,2307242,2307775,578,0.0008
JBQVBD010000012.1,1508686,1508889,578,0.0008
JBQVBD010000017.1,3431668,3431887,576,0.0008
JBQVBD010000016.1,4545115,4545992,575,0.0008
JBQVBD010000013.1,1806667,1807084,575,0.0008
JBQVBD010000008.1,808684,809278,575,0.0008
JBQVBD010000008.1,326800,327009,575,0.0008
JBQVBD010000004.1,605378,606472,572,0.0008
JBQVBD010000010.1,1059887,1060702,571,0.0008
JBQVBD010000011.1,1288562,1289367,570,0.0008
JBQVBD010000017.1,1289242,1289780,569,0.0008
